step,train/node_label/f1_score,train/loss/total,train/loss/node_label,train/node_label/accuracy,epoch,lr-Adam,val/loss/node_label,val/node_label/f1_score,val/node_label/accuracy,val/loss/total,test/loss/total,test/node_label/accuracy,test/loss/node_label,test/node_label/f1_score
4599,0.7448883056640625,1.172560453414917,1.172560453414917,0.236233651638031,68,,,,,,,,,
4622,,,,,68,,1.5836771726608276,0.570062518119812,0.12025903910398483,1.5836771726608276,,,,
4623,,,,,,0.001,,,,,,,,
4649,,,,,,0.001,,,,,,,,
4649,0.708621621131897,1.1960753202438354,1.1960753202438354,0.15981054306030273,69,,,,,,,,,
4689,,,,,69,,1.5920522212982178,0.5758814215660095,0.1355733722448349,1.5920522212982178,,,,
4690,,,,,,0.001,,,,,,,,
4699,,,,,,0.001,,,,,,,,
4699,0.7488528490066528,1.2362942695617676,1.2362942695617676,0.21272940933704376,70,,,,,,,,,
4749,,,,,,0.001,,,,,,,,
4749,0.6529185175895691,1.224915862083435,1.224915862083435,0.1019308939576149,70,,,,,,,,,
4756,,,,,70,,1.6247988939285278,0.5573164820671082,0.12014998495578766,1.6247988939285278,,,,
4757,,,,,,0.001,,,,,,,,
4799,,,,,,0.001,,,,,,,,
4799,0.6641025543212891,1.2463371753692627,1.2463371753692627,0.12238876521587372,71,,,,,,,,,
4823,,,,,71,,1.6962276697158813,0.5158249735832214,0.12366761267185211,1.6962276697158813,,,,
4824,,,,,,0.001,,,,,,,,
4849,,,,,,0.001,,,,,,,,
4849,0.7642521262168884,1.2544701099395752,1.2544701099395752,0.2749396562576294,72,,,,,,,,,
4890,,,,,72,,1.6763384342193604,0.5299235582351685,0.12148144841194153,1.6763384342193604,,,,
4891,,,,,,0.001,,,,,,,,
4899,,,,,,0.001,,,,,,,,
4899,0.6669978499412537,1.241897463798523,1.241897463798523,0.11810923367738724,73,,,,,,,,,
4949,,,,,,0.001,,,,,,,,
4949,0.6660150289535522,1.2508512735366821,1.2508512735366821,0.12026847153902054,73,,,,,,,,,
4957,,,,,73,,1.6414568424224854,0.5298418402671814,0.11412511020898819,1.6414568424224854,,,,
4958,,,,,,0.001,,,,,,,,
4999,,,,,,0.001,,,,,,,,
4999,0.7423095703125,1.2547547817230225,1.2547547817230225,0.177113339304924,74,,,,,,,,,
5024,,,,,74,,1.6239604949951172,0.5305150151252747,0.10274876654148102,1.6239604949951172,,,,
5025,,,,,,0.001,,,,,,,,
5049,,,,,,0.001,,,,,,,,
5049,0.7285841703414917,1.1618947982788086,1.1618947982788086,0.19884783029556274,75,,,,,,,,,
5091,,,,,75,,1.6866812705993652,0.5431076288223267,0.1472843438386917,1.6866812705993652,,,,
5092,,,,,,0.001,,,,,,,,
5099,,,,,,0.001,,,,,,,,
5099,0.6986448764801025,1.2825828790664673,1.2825828790664673,0.18493470549583435,76,,,,,,,,,
5149,,,,,,0.001,,,,,,,,
5149,0.6483045816421509,1.3257895708084106,1.3257895708084106,0.12372078001499176,76,,,,,,,,,
5158,,,,,76,,1.6947853565216064,0.502200722694397,0.11512380838394165,1.6947853565216064,,,,
5159,,,,,,0.001,,,,,,,,
5199,,,,,,0.001,,,,,,,,
5199,0.7102100849151611,1.279234528541565,1.279234528541565,0.12538670003414154,77,,,,,,,,,
5225,,,,,77,,1.5594727993011475,0.5581483840942383,0.09981880336999893,1.5594727993011475,,,,
5226,,,,,,0.001,,,,,,,,
5249,,,,,,0.001,,,,,,,,
5249,0.7689232230186462,1.231149435043335,1.231149435043335,0.23796290159225464,78,,,,,,,,,
5292,,,,,78,,1.6460821628570557,0.5551180243492126,0.14467361569404602,1.6460821628570557,,,,
5293,,,,,,0.001,,,,,,,,
5299,,,,,,0.001,,,,,,,,
5299,0.7760426998138428,1.1862528324127197,1.1862528324127197,0.24128590524196625,79,,,,,,,,,
5349,,,,,,0.001,,,,,,,,
5349,0.7524118423461914,1.2356081008911133,1.2356081008911133,0.20991365611553192,79,,,,,,,,,
5359,,,,,79,,1.5857877731323242,0.5585238933563232,0.1073489859700203,1.5857877731323242,,,,
5360,,,,,,0.001,,,,,,,,
5399,,,,,,0.001,,,,,,,,
5399,0.7258599996566772,1.2261189222335815,1.2261189222335815,0.2044016271829605,80,,,,,,,,,
5426,,,,,80,,1.669825792312622,0.5198850035667419,0.11671626567840576,1.669825792312622,,,,
5427,,,,,,0.001,,,,,,,,
5449,,,,,,0.001,,,,,,,,
5449,0.625649094581604,1.2637193202972412,1.2637193202972412,0.05798930674791336,81,,,,,,,,,
5493,,,,,81,,1.63495934009552,0.5471582412719727,0.1248275563120842,1.63495934009552,,,,
5494,,,,,,0.001,,,,,,,,
5499,,,,,,0.001,,,,,,,,
